"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
11001005001,"Logan Circle, Washington, DC",24946
11001007409,"Southeast Washington, Washington, DC",24860
11001007804,"Lincoln Heights, Washington, DC",24780
11001008410,"Northeast Washington, Washington, DC",24743
11001007504,"Historic Anacostia, Washington, DC",24643
11001008904,"Carver / Langston, Washington, DC",24605
11001009907,"Southeast Washington, Washington, DC",24572
11001009904,"Marshall Heights, Washington, DC",24454
11001007407,"Barry Farm, Washington, DC",24363
11001007503,"Historic Anacostia, Washington, DC",24358
11001009801,"Southeast Washington, Washington, DC",24277
11001009102,"Brentwood, Washington, DC",24223
11001003500,"Northwest Washington, Washington, DC",24211
11001010900,"Southwest Washington, Washington, DC",23884
11001009906,"Marshall Heights, Washington, DC",23841
11001005900,"Northwest Washington, Washington, DC",23740
11001007406,"Southeast Washington, Washington, DC",23663
11001008702,"Eckington, Washington, DC",23567
11001009811,"Southeast Washington, Washington, DC",23456
11001007502,"Southeast Washington, Washington, DC",23104
11001009204,"Edgewood, Washington, DC",23063
11001007901,"Northeast Washington, Washington, DC",22816
11001009810,"Southeast Washington, Washington, DC",22753
11001007408,"Southeast Washington, Washington, DC",22722
11001008803,"Northeast Washington, Washington, DC",22468
11001004702,"Northwest Washington, Washington, DC",22206
11001007401,"Barry Farm, Washington, DC",22097
11001008804,"Northeast Washington, Washington, DC",22008
11001006400,"Southwest Washington, Washington, DC",21239
11001004701,"Northwest Washington, Washington, DC",21227
11001009802,"Southeast Washington, Washington, DC",21190
11001007404,"Douglass, Washington, DC",21171
11001003400,"Howard University, Washington, DC",20744
11001007200,"Capitol Riverfront, Washington, DC",20715
11001010800,"Northwest Washington, Washington, DC",
11001006202,"Northwest Washington, Washington, DC",
11001006804,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",
