tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
24033806400,"University Park, MD",0.1522
11001000902,"Northwest Washington, Washington, DC",0.1521
51510200107,"Alexandria West, Alexandria, VA",0.1519
51013100900,"Tara - Leeway Heights, Arlington, VA",0.1518
51059470500,"McLean, VA",0.1502
51510200104,"Alexandria West, Alexandria, VA",0.1502
51059420203,"Alexandria, VA",0.1501
51013103800,"Long Branch Creek, Arlington, VA",0.15
51013101404,"Virginia Square, Arlington, VA",0.1497
11001001200,"Northwest Washington, Washington, DC",0.1487
51059470700,"McLean, VA",0.1482
51013101100,"East Falls Church, Arlington, VA",0.1469
24031702500,"Downtown Silver Spring, Silver Spring, MD",0.146
51059471202,"McLean, VA",0.1457
51510200301,"Seminary Hill, Alexandria, VA",0.1444
11001001500,"Northwest Washington, Washington, DC",0.1444
51510201500,"Potomac West, Alexandria, VA",0.1442
51510200405,"Landmark, Alexandria, VA",0.1433
51059470900,"Falls Church, VA",0.1431
51510200202,"Seminary Hill, Alexandria, VA",0.1425
51059471304,"Falls Church, VA",0.1416
24031702602,"Silver Spring, MD",0.1413
24031705400,"Chevy Chase, MD",0.1412
51059470400,"McLean, VA",0.1408
51059452000,"Annandale, VA",0.1398
11001002302,"Northwest Washington, Washington, DC",0.1393
51059451300,"Falls Church, VA",0.1393
24031705701,"Bethesda, MD",0.139
24033805908,"Chillum, MD",0.1382
11001009801,"Southeast Washington, Washington, DC",0.1373
51013100500,"Donaldson Run, Arlington, VA",0.1372
51510201203,"Potomac West, Alexandria, VA",0.1372
51013101000,"Arlington, VA",0.1372
51610500200,"Falls Church, VA",0.1365
24031705800,"Glen Echo, MD",0.1364
51510200201,"Seminary Hill, Alexandria, VA",0.1363
51013100300,"Old Glebe, Arlington, VA",0.1362
11001010100,"Downtown, Washington, DC",0.1361
24031706009,"Potomac, MD",0.1358
11001006600,"Capitol Hill, Washington, DC",0.1355
51013101803,"Lyon Park, Arlington, VA",0.1346
24031705901,"Bethesda, MD",0.1341
51510200105,"Alexandria West, Alexandria, VA",0.1341
51510201900,"Old Town, Alexandria, VA",0.1339
24031705300,"Chevy Chase, MD",0.1337
51510201100,"North Ridge, Alexandria, VA",0.133
51510201600,"Old Town West, Alexandria, VA",0.1308
51510201400,"Potomac West, Alexandria, VA",0.1304
24031705502,"Chevy Chase, MD",0.1291
51013103501,"Arlington Ridge, Arlington, VA",0.1289
51013103000,"Shirlington, Arlington, VA",0.1288
51059470600,"McLean, VA",0.1287
24031705000,"Bethesda, MD",0.1277
11001005301,"Northwest Washington, Washington, DC",0.1274
24031702601,"Downtown Silver Spring, Silver Spring, MD",0.1272
51013101601,"North Highland, Arlington, VA",0.127
11001000502,"Northwest Washington, Washington, DC",0.127
24031706013,"Bethesda, MD",0.1255
11001000701,"Cathedral Heights, Washington, DC",0.1249
11001001001,"American University Park, Washington, DC",0.1247
24031705902,"Bannockburn, Bethesda, MD",0.1246
51059451100,"Falls Church, VA",0.124
24033801104,"Joint Base Andrews, MD",0.1223
11001000600,"Northwest Washington, Washington, DC",0.122
51059470300,"McLean, VA",0.1218
11001000202,"Georgetown, Washington, DC",0.1212
51510200500,"Seminary Hill, Alexandria, VA",0.1207
51510201000,"North Ridge, Alexandria, VA",0.1205
24031701702,"Takoma Park, MD",0.1204
11001000901,"Northwest Washington, Washington, DC",0.119
24031705200,"Chevy Chase, MD",0.1172
24031705100,"Chevy Chase, MD",0.1158
11001000100,"Georgetown, Washington, DC",0.1156
24031705501,"Chevy Chase, MD",0.1151
51059480100,"Great Falls, VA",0.1145
51013100400,"Arlington, VA",0.1142
51610500100,"Falls Church, VA",0.1141
51510200900,"North Ridge, Alexandria, VA",0.114
51013101402,"Virginia Square, Arlington, VA",0.1131
24031705702,"Bethesda, MD",0.1122
11001001100,"Northwest Washington, Washington, DC",0.1116
11001001401,"Northwest Washington, Washington, DC",0.1115
24031706008,"Potomac, MD",0.1105
51059480201,"McLean, VA",0.1088
